model,scenario,eval_rate_tps_mean,eval_rate_tps_std,eval_rate_tps_min,eval_rate_tps_max,eval_rate_tps_count,self_score_mean,self_score_std,efficiency_mean,efficiency_std,total_duration_raw_mean,load_duration_sec_mean
deepseek-r1:32b,中英互译,2.99,,2.99,2.99,1,8.0,,0.0,,,0.06
deepseek-r1:32b,代码解释,2.66,,2.66,2.66,1,1.0,,0.0,,,0.05
deepseek-r1:32b,自然语言转代码,2.62,,2.62,2.62,1,10.0,,0.0,,,12.65
deepseek-r1:32b,问题解答,2.7,,2.7,2.7,1,1.0,,0.0,,,0.06
devstral:24b,中英互译,4.7,,4.7,4.7,1,8.0,,0.0,,,0.05
devstral:24b,代码解释,3.73,,3.73,3.73,1,9.0,,0.0,,,0.05
devstral:24b,自然语言转代码,3.94,,3.94,3.94,1,8.0,,0.0,,,0.07
devstral:24b,问题解答,3.74,,3.74,3.74,1,9.0,,0.0,,,0.05
gemma3:27b,中英互译,3.31,,3.31,3.31,1,9.0,,0.0,,,0.08
gemma3:27b,代码解释,3.09,,3.09,3.09,1,10.0,,0.0,,,0.09
gemma3:27b,自然语言转代码,3.16,,3.16,3.16,1,9.0,,0.0,,,8.23
gemma3:27b,问题解答,3.07,,3.07,3.07,1,9.0,,0.0,,,0.09
gpt-oss:120b,中英互译,5.65,,5.65,5.65,1,8.0,,0.0,,,0.09
gpt-oss:120b,代码解释,5.05,,5.05,5.05,1,10.0,,0.0,,,0.08
gpt-oss:120b,自然语言转代码,5.25,,5.25,5.25,1,9.0,,0.0,,,47.5
gpt-oss:120b,问题解答,4.9,,4.9,4.9,1,9.0,,0.0,,,0.09
gpt-oss:20b,中英互译,8.84,,8.84,8.84,1,5.0,,0.0,,,0.08
gpt-oss:20b,代码解释,8.38,,8.38,8.38,1,10.0,,0.0,,,0.08
gpt-oss:20b,自然语言转代码,8.51,,8.51,8.51,1,9.0,,0.0,,,10.29
gpt-oss:20b,问题解答,8.37,,8.37,8.37,1,9.0,,0.0,,,0.09
qwen3-coder:30b,中英互译,11.03,,11.03,11.03,1,9.0,,0.0,,,0.05
qwen3-coder:30b,代码解释,6.32,,6.32,6.32,1,9.0,,0.0,,,0.05
qwen3-coder:30b,自然语言转代码,7.49,,7.49,7.49,1,8.0,,0.0,,,12.37
qwen3-coder:30b,问题解答,6.12,,6.12,6.12,1,8.0,,0.0,,,0.05
qwen3-coder:30b-a3b-i_q8,中英互译,8.02,,8.02,8.02,1,9.0,,0.0,,,0.06
qwen3-coder:30b-a3b-i_q8,代码解释,4.14,,4.14,4.14,1,9.0,,0.0,,,0.06
qwen3-coder:30b-a3b-i_q8,自然语言转代码,5.05,,5.05,5.05,1,8.0,,0.0,,,18.62
qwen3-coder:30b-a3b-i_q8,问题解答,4.06,,4.06,4.06,1,9.0,,0.0,,,0.05
qwen3:30b,中英互译,11.03,,11.03,11.03,1,9.0,,0.0,,,0.06
qwen3:30b,代码解释,6.27,,6.27,6.27,1,10.0,,0.0,,,0.06
qwen3:30b,自然语言转代码,8.32,,8.32,8.32,1,9.0,,0.0,,,11.9
qwen3:30b,问题解答,6.16,,6.16,6.16,1,9.5,,0.0,,,0.06
qwen3:30b-a3b-i_q8,中英互译,7.86,,7.86,7.86,1,9.0,,0.0,,,0.04
qwen3:30b-a3b-i_q8,代码解释,4.2,,4.2,4.2,1,10.0,,0.0,,,0.05
qwen3:30b-a3b-i_q8,自然语言转代码,5.22,,5.22,5.22,1,9.0,,0.0,,,14.47
qwen3:30b-a3b-i_q8,问题解答,4.14,,4.14,4.14,1,9.5,,0.0,,,0.06
qwen3:30b-a3b-t_q8,中英互译,3.95,,3.95,3.95,1,1.0,,0.0,,,0.07
qwen3:30b-a3b-t_q8,代码解释,3.81,,3.81,3.81,1,1.0,,0.0,,,0.06
qwen3:30b-a3b-t_q8,自然语言转代码,3.87,,3.87,3.87,1,10.0,,0.0,,,21.79
qwen3:30b-a3b-t_q8,问题解答,3.89,,3.89,3.89,1,1.0,,0.0,,,0.06
